Wall time,Step,Value
1669993026.15406,0,0.0
1669993039.424473,500,-2.4000000953674316
1669993051.882819,1000,-2.4000000953674316
1669993063.751844,1500,-2.4000000953674316
1669993075.560549,2000,-2.4000000953674316
1669993087.379626,2500,-2.700000047683716
1669993099.093534,3000,-2.9000000953674316
1669993110.651677,3500,-2.5999999046325684
1669993122.245444,4000,-3.0
1669993134.086654,4500,-2.200000047683716
1669993146.248319,5000,-2.299999952316284
1669993157.942294,5500,-2.799999952316284
1669993169.700953,6000,-2.799999952316284
1669993181.324911,6500,-3.200000047683716
1669993193.153818,7000,-2.799999952316284
1669993205.226895,7500,-2.0999999046325684
1669993217.15585,8000,-2.5
1669993229.746955,8500,-2.700000047683716
1669993242.515819,9000,-2.799999952316284
1669993255.039587,9500,-2.4000000953674316
1669993268.095234,10000,-3.0
1669993280.397003,10500,-2.5999999046325684
1669993292.072958,11000,-3.200000047683716
1669993304.662186,11500,-2.5999999046325684
1669993317.09533,12000,-2.5
1669993328.881298,12500,-2.5999999046325684
1669993340.824673,13000,-2.799999952316284
1669993352.872328,13500,-2.4000000953674316
1669993364.774311,14000,-2.799999952316284
1669993376.55248,14500,-3.200000047683716
1669993388.550082,15000,-2.700000047683716
1669993400.610344,15500,-2.700000047683716
1669993412.570613,16000,-3.200000047683716
1669993424.432763,16500,-3.0
1669993436.082941,17000,-2.9000000953674316
1669993448.347792,17500,-2.799999952316284
1669993461.667352,18000,-2.700000047683716
1669993473.820461,18500,-2.4000000953674316
1669993485.761211,19000,-2.4000000953674316
1669993497.589391,19500,-2.799999952316284
1669993509.611452,20000,-2.200000047683716
1669993521.45815,20500,-2.299999952316284
1669993533.216107,21000,-3.0
1669993545.623285,21500,-2.5
1669993558.226497,22000,-2.9000000953674316
1669993570.370179,22500,-2.299999952316284
1669993582.293676,23000,-2.5
1669993594.245149,23500,-2.5
1669993606.192945,24000,-2.799999952316284
1669993618.788504,24500,-2.299999952316284
1669993631.003311,25000,-2.5
1669993643.605625,25500,-2.5999999046325684
1669993655.62073,26000,-3.200000047683716
1669993668.485722,26500,-2.0999999046325684
1669993681.251019,27000,-2.9000000953674316
1669993693.520339,27500,-2.4000000953674316
1669993705.879528,28000,-2.5999999046325684
1669993718.195011,28500,-2.9000000953674316
1669993731.203486,29000,-2.5
1669993744.250444,29500,-2.4000000953674316
1669993757.539945,30000,-2.799999952316284
1669993770.236195,30500,-2.799999952316284
1669993783.285459,31000,-3.0999999046325684
1669993797.333794,31500,-3.0999999046325684
1669993810.088131,32000,-2.5
1669993823.800636,32500,-2.700000047683716
1669993835.79035,33000,-2.9000000953674316
1669993847.517045,33500,-2.200000047683716
1669993859.249783,34000,-2.4000000953674316
1669993871.354666,34500,-2.799999952316284
1669993883.551409,35000,-2.799999952316284
1669993895.521699,35500,-2.4000000953674316
1669993908.281234,36000,-3.0999999046325684
1669993920.675607,36500,-2.9000000953674316
1669993932.959521,37000,-2.5
1669993945.149696,37500,-2.200000047683716
1669993957.56631,38000,-2.5
1669993970.088351,38500,-2.700000047683716
1669993983.554752,39000,-2.5999999046325684
1669993996.35762,39500,-2.700000047683716
1669994008.96743,40000,-2.5999999046325684
1669994021.768403,40500,-2.5999999046325684
1669994033.940421,41000,-2.799999952316284
1669994046.482634,41500,-2.700000047683716
1669994059.251157,42000,-2.5999999046325684
1669994071.453064,42500,-2.9000000953674316
1669994083.962732,43000,-3.799999952316284
1669994096.486078,43500,-2.700000047683716
1669994108.616891,44000,-2.799999952316284
1669994120.809633,44500,-2.5999999046325684
1669994133.145331,45000,-2.5
1669994144.715721,45500,-2.9000000953674316
1669994156.551089,46000,-2.700000047683716
1669994169.635584,46500,-2.799999952316284
1669994182.617541,47000,-2.0999999046325684
1669994195.066402,47500,-2.9000000953674316
1669994207.445791,48000,-2.4000000953674316
1669994220.042691,48500,-2.9000000953674316
1669994232.599866,49000,-2.299999952316284
1669994244.851452,49500,-2.4000000953674316
